ONS ID,ONS region ID,Constituency,County name,Region name,Country name,Constituency type,Declaration time,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,WinningVotes,WinningShare,Majority,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14000541,E12000003,Barnsley Central,South Yorkshire,Yorkshire and The Humber,England,Borough,13/12/2019 02:14,Daniel,Jarvis,Male,Lab hold,Lab,BRX,"65,277","36,903",105,"14,804",40.1%,"3,571","7,892","14,804","1,176","11,233",900,0,0,0,0,0,0,0,898,0
E14000542,E12000003,Barnsley East,South Yorkshire,Yorkshire and The Humber,England,County,13/12/2019 02:00,Stephanie,Peacock,Female,Lab hold,Lab,BRX,"69,504","38,070",110,"14,329",37.6%,"3,217","10,377","14,329","1,330","11,112",922,0,0,0,0,0,0,0,0,0
E14000543,E12000002,Barrow and Furness,Cumbria,North West,England,County,13/12/2019 03:20,Simon,Fell,Male,Con gain from Lab Coop,Con,Lab,"70,158","46,046",92,"23,876",51.9%,"5,789","23,876","18,087","2,025","1,355",703,0,0,0,0,0,0,0,0,0
E14000544,E12000006,Basildon and Billericay,Essex,East of England,England,Borough,13/12/2019 01:48,John,Baron,Male,Con hold,Con,Lab,"69,906","44,128",185,"29,590",67.1%,"20,412","29,590","9,178","3,741",0,"1,395",0,0,0,0,0,0,0,224,0
E14000545,E12000008,Basingstoke,Hampshire,South East,England,Borough,13/12/2019 02:58,Maria,Miller,Female,Con hold,Con,Lab,"82,928","54,713",244,"29,593",54.1%,"14,198","29,593","15,395","6,841",0,"2,138",0,0,0,0,0,0,0,746,0
E14000546,E12000004,Bassetlaw,Nottinghamshire,East Midlands,England,County,13/12/2019 03:38,Brendan,Clarke-Smith,Male,Con gain from Lab,Con,Lab,"80,024","50,841",211,"28,078",55.2%,"14,013","28,078","14,065","3,332","5,366",0,0,0,0,0,0,0,0,0,0
E14000547,E12000009,Bath,Avon,South West,England,Borough,13/12/2019 02:59,Wera,Hobhouse,Female,LD hold,LD,Con,"67,805","52,138",192,"28,419",54.5%,"12,322","16,097","6,639","28,419",642,0,0,0,0,0,0,0,0,341,0
E14000548,E12000003,Batley and Spen,West Yorkshire,Yorkshire and The Humber,England,Borough,13/12/2019 05:16,Tracy,Brabin,Female,Lab hold,Lab,Con,"79,558","52,927",104,"22,594",42.7%,"3,525","19,069","22,594","2,462","1,678",692,0,0,0,0,0,0,0,"6,432",0
E14000549,E12000007,Battersea,London,London,England,Borough,13/12/2019 02:34,Marsha,De Cordova,Female,Lab hold,Lab,Con,"79,350","59,977",157,"27,290",45.5%,"5,668","21,622","27,290","9,150",386,"1,529",0,0,0,0,0,0,0,0,0
E14000550,E12000008,Beaconsfield,Buckinghamshire,South East,England,County,13/12/2019 04:09,Joy,Morrissey,Female,Con hold,Con,Ind,"77,720","57,868",167,"32,477",56.1%,"15,712","32,477","5,756",0,0,"2,033",0,0,0,0,0,0,0,"17,602",0
E14000551,E12000007,Beckenham,London,London,England,Borough,13/12/2019 04:16,Bob,Stewart,Male,Con hold,Con,Lab,"68,662","50,555",236,"27,282",54.0%,"14,258","27,282","13,024","8,194",0,"2,055",0,0,0,0,0,0,0,0,0
E14000552,E12000006,Bedford,Bedfordshire,East of England,England,Borough,13/12/2019 03:49,Mohammad,Yasin,Male,Lab hold,Lab,Con,"71,581","47,301",140,"20,491",43.3%,145,"20,346","20,491","4,608",896,960,0,0,0,0,0,0,0,0,0
N06000001,N92000002,Belfast East,Northern Ireland,Northern Ireland,Northern Ireland,Borough,13/12/2019 03:08,Gavin,Robinson,Male,DUP hold,DUP,APNI,"66,245","42,445",169,"20,874",49.2%,"1,819",0,0,0,0,0,0,0,"20,874",0,0,"2,516","19,055",0,0
N06000002,N92000002,Belfast North,Northern Ireland,Northern Ireland,Northern Ireland,Borough,13/12/2019 02:57,John,Finucane,Male,SF gain from DUP,SF,DUP,"72,225","49,037",388,"23,078",47.1%,"1,943",0,0,0,0,0,0,0,"21,135","23,078",0,0,"4,824",0,0
N06000003,N92000002,Belfast South,Northern Ireland,Northern Ireland,Northern Ireland,Borough,13/12/2019 03:43,Claire,Hanna,Female,SDLP gain from DUP,SDLP,DUP,"69,984","47,352",172,"27,079",57.2%,"15,401",0,0,0,0,0,0,0,"11,678",0,"27,079","1,259","6,786",550,0
N06000004,N92000002,Belfast West,Northern Ireland,Northern Ireland,Northern Ireland,Borough,13/12/2019 02:50,Paul,Maskey,Male,SF hold,SF,PBPA,"65,644","38,782",206,"20,866",53.8%,"14,672",0,0,0,0,0,0,0,"5,220","20,866","2,985",0,"1,882","7,829",0
E14000553,E12000007,Bermondsey and Old Southwark,London,London,England,Borough,13/12/2019 04:03,Neil,Coyle,Male,Lab hold,Lab,LD,"93,248","58,615",276,"31,723",54.1%,"16,126","9,678","31,723","15,597","1,617",0,0,0,0,0,0,0,0,0,0
S14000008,S92000003,"Berwickshire, Roxburgh and Selkirk",Scotland,Scotland,Scotland,County,13/12/2019 03:40,John,Lamont,Male,Con hold,Con,SNP,"74,518","53,146",170,"25,747",48.4%,"5,148","25,747","2,513","4,287",0,0,"20,599",0,0,0,0,0,0,0,0
E14000554,E12000001,Berwick-Upon-Tweed,Northumberland,North East,England,County,13/12/2019 03:41,Anne-Marie,Trevelyan,Female,Con hold,Con,Lab,"59,939","42,109",178,"23,947",56.9%,"14,835","23,947","9,112","7,656",0,"1,394",0,0,0,0,0,0,0,0,0
E14000555,E12000007,Bethnal Green and Bow,London,London,England,Borough,13/12/2019 04:26,Rushanara,Ali,Female,Lab hold,Lab,Con,"88,262","60,562",240,"44,052",72.7%,"37,524","6,528","44,052","5,892","1,081","2,570",0,0,0,0,0,0,0,439,0
E14000556,E12000003,Beverley and Holderness,Humberside,Yorkshire and The Humber,England,County,13/12/2019 02:27,Graham,Stuart,Male,Con hold,Con,Lab,"79,696","53,542",248,"33,250",62.1%,"20,448","33,250","12,802","4,671",0,"1,378",0,0,0,0,0,0,0,"1,441",0
