ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,FormulaWonVotes,FormulaWonShare,WinningVotes,WinningVoteShare,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14001443,E12000002,Ribble Valley,,North West,England,Maya,Ellis,Female,Lab gain from Con,Lab,Con,80484,52023,181,856,18177,34.9%,18177,34.9%,17321,18177,5001,8524,1727,0,0,0,0,0,0,0,1273,0
E14001444,E12000003,Richmond and Northallerton,,Yorkshire and The Humber,England,Rishi,Sunak,Male,Con hold,Con,Lab,73886,48526,99,12185,23059,47.5%,23059,47.5%,23059,10874,4322,7142,2058,0,0,0,0,0,0,0,1071,0
E14001445,E12000007,Richmond Park,,London,England,Sarah,Olney,Female,LD hold,LD,Con,74988,51517,218,17155,28528,55.4%,28528,55.4%,11373,5048,28528,3258,2728,0,0,0,0,0,0,0,582,0
E14001446,E12000002,Rochdale,,North West,England,Paul,Waugh,Male,Lab hold,Lab,WPB,72507,39688,95,1440,13027,32.8%,13027,32.8%,4273,13027,2816,6773,1212,0,0,0,0,0,0,0,11587,0
E14001447,E12000008,Rochester and Strood,,South East,England,Lauren,Edwards,Female,Lab gain from Con,Lab,Con,74257,42598,135,2930,15403,36.2%,15403,36.2%,12473,15403,1894,9966,2427,0,0,0,0,0,0,0,435,0
E14001448,E12000007,Romford,,London,England,Andrew,Rosindell,Male,Con hold,Con,Lab,72928,44047,132,1463,15339,34.8%,15339,34.8%,15339,13876,1895,9624,2220,0,0,0,0,0,0,0,1093,0
E14001449,E12000008,Romsey and Southampton North,,South East,England,Caroline,Nokes,Female,Con hold,Con,LD,71871,50027,151,2191,19893,39.8%,19893,39.8%,19893,4640,17702,5716,1893,0,0,0,0,0,0,0,183,0
E14001450,E12000002,Rossendale and Darwen,,North West,England,Andy,MacNae,Male,Lab gain from Con,Lab,Con,74440,44618,138,5628,18247,40.9%,18247,40.9%,12619,18247,1241,9695,2325,0,0,0,0,0,0,0,491,0
E14001451,E12000003,Rother Valley,,Yorkshire and The Humber,England,Jake,Richards,Male,Lab gain from Con,Lab,Con,69459,41608,104,998,16023,38.5%,16023,38.5%,15025,16023,1175,7679,1706,0,0,0,0,0,0,0,0,0
E14001452,E12000003,Rotherham,,Yorkshire and The Humber,England,Sarah,Champion,Female,Lab hold,Lab,RUK,75929,36932,364,5490,16671,45.1%,16671,45.1%,0,16671,2824,11181,2632,0,0,0,0,0,0,0,3624,0
